step,position,health_level,resource_level,air_pollution,ground_pollution
2,"(1, 5)",100.0,100,1.5983160853870657,0.840605644934888
2,"(1, 7)",100.0,100,5.117347639892472,2.51033332031254
2,"(2, 1)",100.0,100,22.917925935106634,17.935214590128588
2,"(2, 5)",100.0,100,23.12433751931589,18.007354262960476
2,"(2, 6)",100.0,100,5.05978037206692,2.487826994446107
2,"(4, 2)",100.0,100,24.556859343881452,18.799001095946952
2,"(4, 5)",100.0,100,1.606828008871141,0.6957371055202032
2,"(4, 8)",100.0,100,37.31257320163613,27.49335241835301
2,"(5, 4)",100.0,100,1.6119403132849226,0.7878502853159604
2,"(5, 7)",100.0,100,5.368563450253983,2.8236990973931624
2,"(6, 0)",100.0,100,30.596564819921646,23.94875580501285
2,"(6, 1)",100.0,100,0.0,0.0
2,"(6, 2)",100.0,100,0.22265701272809715,0.05566425318202429
2,"(6, 6)",100.0,100,1.606828008871141,0.8451648912559058
2,"(6, 9)",100.0,100,0.0,0.0
2,"(7, 5)",100.0,100,0.0,0.0
2,"(7, 7)",100.0,100,0.22853127278450422,0.057132818196126055
2,"(8, 1)",100.0,100,5.299125041407872,2.741814825751843
2,"(8, 3)",100.0,100,35.67072741510793,26.62713917334092
2,"(8, 4)",100.0,100,30.596564819921646,23.94875580501285
2,"(8, 9)",100.0,100,0.0,0.0
2,"(9, 0)",100.0,100,2.9914322843890293,1.5537332218467634
2,"(9, 5)",100.0,100,0.12109604630695407,0.04427489723199636
2,"(9, 6)",100.0,100,2.8678560853169732,1.508516586905851
3,"(0, 3)",100.0,100,6.328937984095374,4.437776854537125
3,"(0, 4)",100.0,100,32.58186164602874,31.61243336173531
3,"(0, 5)",100.0,100,41.72031834825893,41.028864231676
3,"(1, 2)",100.0,100,2.5661100232464302,1.8289730541868077
3,"(1, 3)",100.0,100,27.80467399852927,28.672282004201435
3,"(1, 5)",100.0,100,2.590351970579091,1.8335101653685253
3,"(1, 7)",100.0,100,8.602810930705223,5.692523739606638
3,"(2, 1)",100.0,100,27.634773860809496,28.146201813939655
3,"(2, 5)",100.0,100,28.24932202136705,28.439294228183748
3,"(2, 6)",100.0,100,8.415260363835909,5.59452806870756
3,"(4, 2)",100.0,100,30.234632617869785,30.01511923190616
3,"(4, 5)",100.0,100,2.5701722516206256,1.4820712302256907
3,"(4, 8)",100.0,100,47.63150240947305,45.30692076064335
3,"(5, 4)",100.0,100,2.5790723054728804,1.7686454857361118
3,"(5, 7)",100.0,100,8.578481175538567,6.121528043735056
3,"(6, 0)",100.0,100,36.87256373146793,37.58918791339685
3,"(6, 1)",100.0,100,0.03941112038976677,0.013383848735976625
3,"(6, 2)",100.0,100,0.6801086146085772,0.21912992953282864
